timestamp,Open,High,Low,Close,Volume
2026-08-18 04:00:00+00:00,4447.39990234375,4448.2001953125,4445.89990234375,4446.2001953125,229
2026-08-18 04:05:00+00:00,4446.39990234375,4447.89990234375,4445.39990234375,4446.7998046875,240
2026-08-18 04:10:00+00:00,4446.89990234375,4448.60009765625,4446.60009765625,4447.89990234375,213
2026-08-18 04:15:00+00:00,4447.89990234375,4449.2001953125,4446.5,4446.7998046875,259
2026-08-18 04:20:00+00:00,4447.10009765625,4448.2001953125,4446.39990234375,4448.2001953125,116
2026-08-18 04:25:00+00:00,4448.2001953125,4448.60009765625,4447.2001953125,4448.10009765625,97
2026-08-18 04:30:00+00:00,4448.2001953125,4450.2998046875,4447.0,4448.0,265
2026-08-18 04:35:00+00:00,4447.60009765625,4448.7001953125,4444.0,4446.7001953125,597
2026-08-18 04:40:00+00:00,4446.89990234375,4449.7998046875,4445.7998046875,4448.7001953125,183
2026-08-18 04:45:00+00:00,4448.7998046875,4450.39990234375,4447.7001953125,4450.10009765625,135
2026-08-18 04:50:00+00:00,4449.89990234375,4450.7998046875,4448.7998046875,4450.7998046875,194
2026-08-18 04:55:00+00:00,4450.7998046875,4450.89990234375,4448.39990234375,4448.89990234375,141
2026-08-18 05:00:00+00:00,4448.7001953125,4449.0,4446.5,4446.89990234375,228
2026-08-18 05:05:00+00:00,4447.0,4449.7998046875,4447.0,4449.0,102
2026-08-18 05:10:00+00:00,4449.2998046875,4449.2998046875,4446.39990234375,4446.60009765625,99
2026-08-18 05:15:00+00:00,4446.7998046875,4450.10009765625,4446.5,4450.0,94
2026-08-18 05:20:00+00:00,4450.10009765625,4451.60009765625,4449.7998046875,4451.10009765625,244
2026-08-18 05:25:00+00:00,4450.89990234375,4451.60009765625,4446.60009765625,4446.60009765625,139
2026-08-18 05:30:00+00:00,4446.39990234375,4447.0,4441.39990234375,4443.10009765625,963
2026-08-18 05:35:00+00:00,4442.60009765625,4446.7998046875,4442.2998046875,4445.7998046875,244
2026-08-18 05:40:00+00:00,4446.10009765625,4450.2001953125,4444.2998046875,4449.2998046875,220
2026-08-18 05:45:00+00:00,4449.5,4451.39990234375,4448.7998046875,4451.2001953125,227
2026-08-18 05:50:00+00:00,4451.5,4453.2001953125,4449.5,4451.39990234375,354
2026-08-18 05:55:00+00:00,4451.5,4452.5,4449.39990234375,4450.2001953125,181
2026-08-18 06:00:00+00:00,4449.39990234375,4449.7998046875,4444.2998046875,4446.10009765625,813
2026-08-18 06:05:00+00:00,4445.89990234375,4449.39990234375,4443.2001953125,4448.60009765625,443
2026-08-18 06:10:00+00:00,4448.5,4451.10009765625,4447.7998046875,4450.89990234375,275
2026-08-18 06:15:00+00:00,4450.7998046875,4451.89990234375,4449.39990234375,4450.7998046875,153
2026-08-18 06:20:00+00:00,4450.7998046875,4453.39990234375,4449.7998046875,4453.10009765625,385
2026-08-18 06:25:00+00:00,4453.2998046875,4455.10009765625,4452.2001953125,4454.89990234375,368
2026-08-18 06:30:00+00:00,4454.7001953125,4455.60009765625,4450.7998046875,4450.7998046875,252
2026-08-18 06:35:00+00:00,4450.7001953125,4453.0,4450.5,4452.39990234375,255
2026-08-18 06:40:00+00:00,4452.39990234375,4454.2001953125,4452.10009765625,4452.5,218
2026-08-18 06:45:00+00:00,4452.60009765625,4454.7001953125,4452.60009765625,4453.10009765625,232
2026-08-18 06:50:00+00:00,4453.2998046875,4454.39990234375,4453.0,4453.60009765625,166
2026-08-18 06:55:00+00:00,4453.7998046875,4454.5,4452.7998046875,4454.10009765625,221
2026-08-18 07:00:00+00:00,4454.2998046875,4456.10009765625,4452.39990234375,4455.0,311
2026-08-18 07:05:00+00:00,4455.5,4456.39990234375,4452.7001953125,4453.2001953125,369
2026-08-18 07:10:00+00:00,4453.10009765625,4454.89990234375,4452.5,4453.2001953125,315
2026-08-18 07:15:00+00:00,4453.2001953125,4456.39990234375,4453.2001953125,4455.10009765625,174
2026-08-18 07:20:00+00:00,4455.5,4457.39990234375,4455.2998046875,4457.0,212
2026-08-18 07:25:00+00:00,4456.89990234375,4459.39990234375,4456.60009765625,4459.0,509
2026-08-18 07:30:00+00:00,4459.10009765625,4459.5,4452.2998046875,4453.0,503
2026-08-18 07:35:00+00:00,4453.0,4458.5,4452.39990234375,4458.0,326
2026-08-18 07:40:00+00:00,4457.7998046875,4459.2001953125,4456.10009765625,4457.39990234375,224
2026-08-18 07:45:00+00:00,4457.60009765625,4458.5,4455.39990234375,4456.0,143
2026-08-18 07:50:00+00:00,4455.39990234375,4456.39990234375,4453.89990234375,4454.2001953125,147
2026-08-18 07:55:00+00:00,4454.10009765625,4454.39990234375,4451.2001953125,4451.2001953125,180
2026-08-18 08:00:00+00:00,4451.60009765625,4451.89990234375,4450.0,4450.0,401
2026-08-18 08:05:00+00:00,4450.2001953125,4450.2001953125,4445.39990234375,4446.2998046875,792
2026-08-18 08:10:00+00:00,4446.2001953125,4450.39990234375,4443.5,4448.2001953125,495
2026-08-18 08:15:00+00:00,4448.39990234375,4449.2001953125,4447.39990234375,4447.60009765625,205
2026-08-18 08:20:00+00:00,4447.5,4448.10009765625,4442.39990234375,4444.0,426
2026-08-18 08:25:00+00:00,4444.0,4445.0,4442.89990234375,4444.89990234375,217
2026-08-18 08:30:00+00:00,4444.89990234375,4449.60009765625,4444.89990234375,4448.7998046875,266
2026-08-18 08:35:00+00:00,4449.2001953125,4454.2001953125,4449.2001953125,4453.60009765625,460
2026-08-18 08:40:00+00:00,4453.60009765625,4454.2001953125,4452.2001953125,4452.5,129
2026-08-18 08:45:00+00:00,4452.2001953125,4452.2998046875,4447.2001953125,4448.89990234375,246
2026-08-18 08:50:00+00:00,4448.60009765625,4449.2998046875,4447.10009765625,4449.2998046875,201
2026-08-18 08:55:00+00:00,4449.39990234375,4450.2001953125,4448.10009765625,4448.89990234375,212
2026-08-18 09:00:00+00:00,4448.7998046875,4449.39990234375,4447.60009765625,4448.0,171
2026-08-18 09:05:00+00:00,4448.0,4448.7001953125,4446.60009765625,4447.5,147
2026-08-18 09:10:00+00:00,4447.5,4449.0,4447.10009765625,4448.39990234375,135
2026-08-18 09:15:00+00:00,4448.10009765625,4448.10009765625,4446.60009765625,4446.89990234375,61
2026-08-18 09:20:00+00:00,4446.60009765625,4447.10009765625,4444.60009765625,4445.7998046875,222
2026-08-18 09:25:00+00:00,4445.5,4447.10009765625,4444.2001953125,4444.89990234375,317
2026-08-18 09:30:00+00:00,4444.7998046875,4449.60009765625,4444.7001953125,4449.60009765625,589
2026-08-18 09:35:00+00:00,4449.7998046875,4451.10009765625,4446.60009765625,4447.5,258
2026-08-18 09:40:00+00:00,4447.5,4447.89990234375,4443.2001953125,4444.5,300
2026-08-18 09:45:00+00:00,4444.5,4448.60009765625,4443.0,4448.60009765625,236
2026-08-18 09:50:00+00:00,4448.39990234375,4450.60009765625,4448.39990234375,4450.0,324
2026-08-18 09:55:00+00:00,4450.2001953125,4451.2998046875,4449.10009765625,4449.7001953125,158
2026-08-18 10:00:00+00:00,4449.7001953125,4452.0,4448.60009765625,4450.10009765625,207
2026-08-18 10:05:00+00:00,4450.39990234375,4450.89990234375,4448.7998046875,4449.5,122
2026-08-18 10:10:00+00:00,4449.60009765625,4451.0,4449.0,4450.7001953125,87
2026-08-18 10:15:00+00:00,4450.89990234375,4452.5,4450.2001953125,4451.7998046875,114
2026-08-18 10:20:00+00:00,4451.2998046875,4451.5,4447.7001953125,4447.7001953125,169
2026-08-18 10:25:00+00:00,4448.2998046875,4448.5,4446.10009765625,4448.2998046875,271
2026-08-18 10:30:00+00:00,4448.7001953125,4450.60009765625,4448.10009765625,4450.2001953125,168
2026-08-18 10:35:00+00:00,4450.10009765625,4454.10009765625,4450.10009765625,4453.89990234375,213
2026-08-18 10:40:00+00:00,4454.10009765625,4455.2001953125,4453.5,4455.0,271
2026-08-18 10:45:00+00:00,4455.2998046875,4456.2001953125,4454.7001953125,4455.2998046875,228
2026-08-18 10:50:00+00:00,4455.60009765625,4456.0,4452.89990234375,4453.39990234375,203
2026-08-18 10:55:00+00:00,4453.7001953125,4454.39990234375,4453.2998046875,4454.39990234375,85
2026-08-18 11:00:00+00:00,4454.2001953125,4455.7998046875,4450.0,4450.5,277
2026-08-18 11:05:00+00:00,4450.5,4451.10009765625,4448.89990234375,4450.0,252
2026-08-18 11:10:00+00:00,4450.10009765625,4450.5,4448.2998046875,4450.2001953125,76
2026-08-18 11:15:00+00:00,4449.7001953125,4451.10009765625,4448.5,4449.39990234375,163
2026-08-18 11:20:00+00:00,4449.39990234375,4450.10009765625,4446.39990234375,4446.60009765625,203
2026-08-18 11:25:00+00:00,4446.5,4448.10009765625,4445.7998046875,4446.2998046875,234
2026-08-18 11:30:00+00:00,4446.2998046875,4448.10009765625,4445.60009765625,4445.60009765625,232
2026-08-18 11:35:00+00:00,4445.7998046875,4447.60009765625,4444.7998046875,4446.7998046875,283
2026-08-18 11:40:00+00:00,4446.5,4448.7998046875,4446.0,4447.2001953125,188
2026-08-18 11:45:00+00:00,4447.0,4450.2001953125,4447.0,4448.5,173
2026-08-18 11:50:00+00:00,4448.7001953125,4449.2001953125,4446.39990234375,4447.10009765625,100
2026-08-18 11:55:00+00:00,4447.2001953125,4453.2998046875,4446.89990234375,4452.2998046875,460
2026-08-18 12:00:00+00:00,4452.60009765625,4453.2998046875,4448.0,4453.10009765625,320
2026-08-18 12:05:00+00:00,4453.0,4453.39990234375,4446.60009765625,4448.0,563
2026-08-18 12:10:00+00:00,4447.7001953125,4449.7998046875,4445.7998046875,4449.7001953125,291
2026-08-18 12:15:00+00:00,4449.2001953125,4450.2001953125,4447.7998046875,4448.7001953125,246
2026-08-18 12:20:00+00:00,4449.2001953125,4457.2998046875,4448.89990234375,4451.89990234375,1230
2026-08-18 12:25:00+00:00,4452.10009765625,4452.5,4448.2001953125,4451.89990234375,749
2026-08-18 12:30:00+00:00,4452.0,4454.7998046875,4449.0,4453.5,373
2026-08-18 12:35:00+00:00,4453.10009765625,4454.39990234375,4449.2001953125,4450.60009765625,438
2026-08-18 12:40:00+00:00,4450.39990234375,4450.7998046875,4447.39990234375,4448.7998046875,372
2026-08-18 12:45:00+00:00,4448.7001953125,4453.10009765625,4448.7001953125,4452.5,411
2026-08-18 12:50:00+00:00,4453.2001953125,4453.60009765625,4448.7998046875,4449.7001953125,450
2026-08-18 12:55:00+00:00,4449.7001953125,4452.2001953125,4447.10009765625,4450.7001953125,590
2026-08-18 13:00:00+00:00,4450.5,4453.7001953125,4446.5,4452.0,799
2026-08-18 13:05:00+00:00,4451.89990234375,4452.89990234375,4445.0,4445.5,787
2026-08-18 13:10:00+00:00,4445.0,4452.2001953125,4444.39990234375,4452.0,1222
